Ordenação,Fator,Dor,Descrição
9,Pouca Expertise em Projetos,VM_2_2,Não temos uma estratégia de marketing e vendas para buscar novos negócios e nossos vendedores são pouco preparados para negociação.
1,Deficiência em Alavancagem,VM_5_1,Não realizamos investimentos em estruturas que torne nosso processo de vendas mais inteligente e automatizado.
2,Deficiência em Alavancagem,GO_5_2,Nosso design organizacional não é completamente voltado para gerar o maior valor para o cliente.
3,Deficiência em Alavancagem,MN_2_2,Temos um trabalho muito centrado no interno da EJ e pouco voltado para entregar melhores projetos.
4,Deficiência em Alavancagem,TC_1_1,Temos dificuldade em atrair membros para a EJ.
5,Deficiência em Alavancagem,VM_4_1,Não temos uma inteligência de vendas para tornar a prospecção de novos negócios e vendas mais eficiente.
6,Deficiência em Alavancagem,TC_2_2,"Nossos membros são poucos qualificados tecnicamente, o que transmite uma imagem pouco profissional da EJ."
7,Deficiência em Alavancagem,TC_5_2,Não conseguimos garantir a melhor performance de todos os membros reforçada pela cultura forte da EJ.
8,Deficiência em Alavancagem,VM_3_1,Nossa estratégia de marketing não é eficiente ou profissionalizada em posicionar nossa marca no mercado e atrair novos negócios.
9,Deficiência em Alavancagem,GO_5_3,Não conseguimos alavancar a nossa operação a partir de investimentos estratégicos.
